2024-12-05 12:08:30,769 - INFO - hi
2024-12-05 12:08:35,440 - INFO - ====== 22 DATA INSERTED ====== {'URL': 'https://timesofindia.indiatimes.com/sports/cricket/news/ollie-pope-to-continue-as-wicketkeeper-as-england-name-unchanged-team-for-second-new-zealand-test/articleshow/115972899.cms', 'Title': 'No Title'}
2024-12-05 12:08:35,457 - INFO - ====== 23 DATA INSERTED ====== {'URL': 'https://timesofindia.indiatimes.com/sports/cricket/news/jofra-archers-ecb-deal-extended-to-2026-jacob-bethell-receives-contract-upgrade/articleshow/115971991.cms', 'Title': 'No Title'}
2024-12-05 12:08:35,469 - INFO - ====== 24 DATA INSERTED ====== {'URL': 'https://timesofindia.indiatimes.com/sports/football/indian-super-league/top-stories/manolos-goa-hand-hyderabad-third-consecutive-defeat/articleshow/115991786.cms', 'Title': 'No Title'}
2024-12-05 12:08:35,479 - INFO - ====== 25 DATA INSERTED ====== {'URL': 'https://timesofindia.indiatimes.com/sports/football/top-stories/kylian-mbappes-penalty-woes-contribute-to-real-madrids-defeat-against-athletic-bilbao/articleshow/115990087.cms', 'Title': "Kylian Mbappe's penalty woes contribute to Real Madrid's defeat against Athletic Bilbao"}
2024-12-05 12:08:35,492 - INFO - ====== 26 DATA INSERTED ====== {'URL': 'https://timesofindia.indiatimes.com/sports/football/epl/top-stories/liverpools-lead-cut-as-chelsea-and-arsenal-surge-in-premier-league/articleshow/115989645.cms', 'Title': "Liverpool's lead cut as Chelsea and Arsenal surge in Premier League"}
2024-12-05 12:08:35,505 - INFO - ====== 27 DATA INSERTED ====== {'URL': 'https://timesofindia.indiatimes.com/sports/football/epl/top-stories/leicester-city-win-in-van-nistelrooy-managerial-debut-crystal-palace-beat-ipswich-town/articleshow/115954433.cms', 'Title': "Leicester City win in Van Nistelrooy's managerial debut, Crystal Palace beat Ipswich Town"}
2024-12-05 12:08:35,519 - INFO - ====== 28 DATA INSERTED ====== {'URL': 'https://timesofindia.indiatimes.com/sports/football/top-stories/raphinha-powers-barcelonas-5-1-thrashing-of-mallorca/articleshow/115954101.cms', 'Title': "Raphinha powers Barcelona's 5-1 thrashing of Mallorca"}
2024-12-05 12:08:35,529 - INFO - ====== 29 DATA INSERTED ====== {'URL': 'https://timesofindia.indiatimes.com/sports/football/top-stories/al-sadd-clinches-asian-champions-league-playoffs-spot-after-beating-cristiano-ronaldo-less-al-nassr/articleshow/115926679.cms', 'Title': 'Al-Sadd clinches Asian Champions League playoffs spot after beating Cristiano Ronaldo-less Al-Nassr'}
2024-12-05 12:08:35,542 - INFO - ====== 30 DATA INSERTED ====== {'URL': 'https://timesofindia.indiatimes.com/sports/football/top-stories/lionel-messi-and-cristiano-ronaldo-make-the-world-xi-shortlist-despite-moving-away-from-european-football/articleshow/115919346.cms', 'Title': 'No Title'}
2024-12-05 12:08:35,559 - INFO - ====== 31 DATA INSERTED ====== {'URL': 'https://timesofindia.indiatimes.com/sports/football/top-stories/56-killed-in-stampede-due-to-clashes-at-soccer-match-in-guinea/articleshow/115903233.cms', 'Title': 'No Title'}
2024-12-05 12:08:35,569 - INFO - ====== 32 DATA INSERTED ====== {'URL': 'https://timesofindia.indiatimes.com/sports/football/top-stories/fiorentinas-edoardo-bove-collapses-on-field-stable-watch/articleshow/115885283.cms', 'Title': 'No Title'}
2024-12-05 12:08:35,579 - INFO - ====== 33 DATA INSERTED ====== {'URL': 'https://timesofindia.indiatimes.com/sports/football/top-stories/mass-carnage-clashes-at-a-football-match-in-guinea-leaves-dozens-dead/articleshow/115881922.cms', 'Title': 'No Title'}
2024-12-05 12:08:35,592 - INFO - ====== 34 DATA INSERTED ====== {'URL': 'https://timesofindia.indiatimes.com/sports/tennis/top-stories/neale-fraser-former-australia-davis-cup-captain-passes-away-at-91/articleshow/115923822.cms', 'Title': 'No Title'}
2024-12-05 12:08:35,604 - INFO - ====== 35 DATA INSERTED ====== {'URL': 'https://timesofindia.indiatimes.com/sports/tennis/top-stories/italy-to-host-davis-cup-final-8-from-2025/articleshow/115907972.cms', 'Title': 'Italy to host Davis Cup Final 8 from 2025'}
2024-12-05 12:08:35,610 - INFO - ====== 36 DATA INSERTED ====== {'URL': 'https://timesofindia.indiatimes.com/sports/tennis/top-stories/i-can-still-play-at-the-highest-level-says-novak-djokovic/articleshow/115865530.cms', 'Title': 'I can still play at the highest level, says Novak Djokovic'}
2024-12-05 12:08:35,629 - INFO - ====== 37 DATA INSERTED ====== {'URL': 'https://timesofindia.indiatimes.com/sports/tennis/top-stories/i-believe-i-belong-on-the-tour-sumit-nagal/articleshow/115830015.cms', 'Title': 'I believe I belong on the Tour: Sumit Nagal'}
2024-12-05 12:08:35,642 - INFO - ====== 38 DATA INSERTED ====== {'URL': 'https://timesofindia.indiatimes.com/sports/tennis/top-stories/the-injustice-to-me-was-painful-simona-halep-slams-itias-double-standards-after-iga-swiateks-one-month-ban/articleshow/115815329.cms', 'Title': "'The injustice to me was painful': Simona Halep slams ITIA's double standards after Iga Swiatek's one-month ban"}
2024-12-05 12:08:35,651 - INFO - ====== 39 DATA INSERTED ====== {'URL': 'https://timesofindia.indiatimes.com/sports/tennis/top-stories/explained-why-did-iga-swiatek-get-one-month-ban-for-doping-what-did-she-test-positive-for/articleshow/115799096.cms', 'Title': 'Explained: Why did Iga Swiatek get one-month ban for doping? What did she test positive for?'}
2024-12-05 12:08:35,663 - INFO - ====== 40 DATA INSERTED ====== {'URL': 'https://timesofindia.indiatimes.com/sports/tennis/top-stories/five-time-grand-slam-winner-iga-swiatek-handed-suspension-for-banned-substance/articleshow/115774890.cms', 'Title': 'No Title'}
2024-12-05 12:08:35,679 - INFO - ====== 41 DATA INSERTED ====== {'URL': 'https://timesofindia.indiatimes.com/sports/tennis/top-stories/jannik-sinner-sends-holders-italy-into-davis-cup-final/articleshow/115606686.cms', 'Title': 'No Title'}
2024-12-05 12:08:35,693 - INFO - ====== 42 DATA INSERTED ====== {'URL': 'https://timesofindia.indiatimes.com/sports/tennis/top-stories/novak-djokovic-announces-to-be-coached-by-andy-murray/articleshow/115606074.cms', 'Title': 'No Title'}
2024-12-05 12:08:35,707 - INFO - ====== 43 DATA INSERTED ====== {'URL': 'https://timesofindia.indiatimes.com/sports/tennis/top-stories/netherlands-storm-into-their-first-ever-davis-cup-final-after-defeating-germany/articleshow/115589810.cms', 'Title': 'No Title'}
2024-12-05 12:08:35,719 - INFO - ====== 44 DATA INSERTED ====== {'URL': 'No URL', 'Title': 'No Title'}
